file_name,GT
British Land 2022 Sustainability Report.pdf300001-30.png,1
British Land 2022 Sustainability Report.pdf320001-32.png,1
British Land 2022 Sustainability Report.pdf330001-33.png,1
British Land 2022 Sustainability Report.pdf340001-34.png,1
British Land 2022 Sustainability Report.pdf350001-35.png,1
British Land 2022 Sustainability Report.pdf360001-36.png,0
British Land 2022 Sustainability Report.pdf370001-37.png,1
British Land 2022 Sustainability Report.pdf380001-38.png,0
British Land 2022 Sustainability Report.pdf40001-04.png,0
British Land 2022 Sustainability Report.pdf440001-44.png,0
British Land 2022 Sustainability Report.pdf630001-63.png,1
British Land 2022 Sustainability Report.pdf70001-07.png,1
British Land 2022 Sustainability Report.pdf710001-71.png,0
British Land 2022 Sustainability Report.pdf720001-72.png,0
British Land 2022 Sustainability Report.pdf740001-74.png,0
British Land 2022 Sustainability Report.pdf750001-75.png,0
British Land 2022 Sustainability Report.pdf760001-76.png,0
British Land 2022 Sustainability Report.pdf880001-88.png,0
CDL 2022 Sustainability Report.pdf1160001-116.png,0
CDL 2022 Sustainability Report.pdf1170001-117.png,0
CDL 2022 Sustainability Report.pdf1190001-119.png,0
CDL 2022 Sustainability Report.pdf1200001-120.png,1
CDL 2022 Sustainability Report.pdf1300001-130.png,1
CDL 2022 Sustainability Report.pdf1330001-133.png,1
CDL 2022 Sustainability Report.pdf1350001-135.png,0
CDL 2022 Sustainability Report.pdf1360001-136.png,0
CDL 2022 Sustainability Report.pdf1510001-151.png,0
CDL 2022 Sustainability Report.pdf1560001-156.png,0
CDL 2022 Sustainability Report.pdf20001-002.png,0
CDL 2022 Sustainability Report.pdf300001-030.png,0
CDL 2022 Sustainability Report.pdf40001-004.png,0
CDL 2022 Sustainability Report.pdf580001-058.png,0
CDL 2022 Sustainability Report.pdf590001-059.png,0
CDL 2022 Sustainability Report.pdf600001-060.png,0
CDL 2022 Sustainability Report.pdf610001-061.png,1
CDL 2022 Sustainability Report.pdf620001-062.png,1
CDL 2022 Sustainability Report.pdf630001-063.png,1
CDL 2022 Sustainability Report.pdf640001-064.png,0
CDL 2022 Sustainability Report.pdf780001-078.png,0
CICT 2021 Annual Report.pdf1350001-135.png,0
CICT 2021 Annual Report.pdf1360001-136.png,1
CICT 2021 Annual Report.pdf2110001-211.png,0
CICT 2021 Annual Report.pdf570001-057.png,0
GPT 2021 Sustainability Report.pdf180001-18.png,0
GPT 2021 Sustainability Report.pdf190001-19.png,1
GPT 2021 Sustainability Report.pdf200001-20.png,0
GPT 2021 Sustainability Report.pdf340001-34.png,0
GPT 2021 Sustainability Report.pdf40001-04.png,1
Hammerson 2021 Sustainability Report.pdf110001-11.png,0
Hammerson 2021 Sustainability Report.pdf130001-13.png,0
Hammerson 2021 Sustainability Report.pdf360001-36.png,0
Hammerson 2021 Sustainability Report.pdf410001-41.png,0
Hammerson 2021 Sustainability Report.pdf430001-43.png,0
Hammerson 2021 Sustainability Report.pdf450001-45.png,0
Hammerson 2021 Sustainability Report.pdf460001-46.png,0
Hammerson 2021 Sustainability Report.pdf90001-09.png,1
Icade 2021 URD.pdf1110001-111.png,1
Icade 2021 URD.pdf1140001-114.png,0
Icade 2021 URD.pdf1260001-126.png,0
Icade 2021 URD.pdf1480001-148.png,1
Icade 2021 URD.pdf1500001-150.png,1
Icade 2021 URD.pdf1530001-153.png,1
Icade 2021 URD.pdf1550001-155.png,1
Icade 2021 URD.pdf1660001-166.png,0
Icade 2021 URD.pdf1720001-172.png,0
Klepierre 2021 URD.pdf1170001-117.png,0
Klepierre 2021 URD.pdf1230001-123.png,0
Klepierre 2021 URD.pdf1240001-124.png,0
Klepierre 2021 URD.pdf1270001-127.png,0
Klepierre 2021 URD.pdf1770001-177.png,0
Klepierre 2021 URD.pdf2850001-285.png,0
Klepierre 2021 URD.pdf3300001-330.png,0
Klepierre 2021 URD.pdf390001-039.png,0
Klepierre 2021 URD.pdf730001-073.png,1
Klepierre 2021 URD.pdf830001-083.png,0
Klepierre 2021 URD.pdf840001-084.png,1
Klepierre 2021 URD.pdf860001-086.png,1
Prologis 2021-22 ESG Report.pdf230001-23.png,0
Prologis 2021-22 ESG Report.pdf240001-24.png,0
Prologis 2021-22 ESG Report.pdf250001-25.png,1
Prologis 2021-22 ESG Report.pdf460001-46.png,1
Prologis 2021-22 ESG Report.pdf500001-50.png,0
Prologis 2021-22 ESG Report.pdf550001-55.png,0
Prologis 2021-22 ESG Report.pdf580001-58.png,0
Prologis 2021-22 ESG Report.pdf70001-07.png,0
Prologis 2021-22 ESG Report.pdf80001-08.png,0
Swire Pacific 2021 Sustainability Report.pdf1100001-110.png,0
Swire Pacific 2021 Sustainability Report.pdf1110001-111.png,0
Swire Pacific 2021 Sustainability Report.pdf190001-019.png,1
Swire Pacific 2021 Sustainability Report.pdf210001-021.png,0
Swire Pacific 2021 Sustainability Report.pdf220001-022.png,1
Swire Pacific 2021 Sustainability Report.pdf230001-023.png,0
Swire Pacific 2021 Sustainability Report.pdf250001-025.png,1
Swire Pacific 2021 Sustainability Report.pdf270001-027.png,0
Swire Pacific 2021 Sustainability Report.pdf40001-004.png,0
Swire Pacific 2021 Sustainability Report.pdf800001-080.png,1
BMW Sustainability Report 2019.pdf1370001-137.png,0
BMW Sustainability Report 2019.pdf690001-069.png,0
BMW Sustainability Report 2019.pdf700001-070.png,1
BMW Sustainability Report 2019.pdf710001-071.png,0
BMW Sustainability Report 2019.pdf850001-085.png,0
BMW Sustainability Report 2020.pdf100001-10.png,1
BMW Sustainability Report 2020.pdf140001-14.png,0
