sentence,page,company,keyword(s),relevant,scale
"We create value for society in many different ways: through our products and services and as an employer, taxpayer, supply chain participant and investor in local communities.",10,BP Plc,['supply chain'],FALSE,0
We document and clearly inform our suppliers that we expect them to operate in a manner consistent with the code.,13,BP Plc,['supplier'],FALSE,0
"Despite the challenging circumstances presented by the pandemic, we remained focused on safety; for example, we held our annual contractor and supplier events for operations and project safety virtually, in October 2021.",14,BP Plc,['supplier'],FALSE,0
We also conduct antibribery compliance audits on selected suppliers when contracts are in place.,15,BP Plc,['supplier'],FALSE,0
We assess any exposure to bribery and corruption risk when working with suppliers and business partners.,15,BP Plc,['supplier'],FALSE,0
"We operate in parts of the world where bribery and corruption present a high risk, so it is important we make clear to our employees, contractors, suppliers and others that our commitment to ethical and compliant operations is unwavering.",15,BP Plc,['supplier'],FALSE,0
We take corrective action with suppliers and business partners who fail to meet our expectations.,15,BP Plc,['supplier'],FALSE,0
"Read more about our approach to labour rights and modern slavery, on page 36 Read our LRMS principles: Read our modern slavery and human trafficking statement: Supplier expectations We want to work with suppliers who strive for sustainability in their supply chains.",18,BP Plc,"['supplier', 'supply chain']",FALSE,0
We try to develop and strengthen relationships with suppliers who are committed to and act in accordance with our code of conduct.,18,BP Plc,['supplier'],FALSE,0
"It is estimated on a lifecycle (full value chain) basis from the use, production, and distribution of energy products per unit of energy (MJ) delivered.",26,BP Plc,['value chain'],FALSE,0
These new memberships relate to our strategic pillars of convenience and mobility and low carbon energy: Clean Fuel Ammonia Association aims to develop a commercial CO2free ammonia value chain in Japan.,33,BP Plc,['value chain'],FALSE,0
"In relation to shipping, the collaboration will focus on ways of transitioning from current marine fuels to future fuels and associated value chains such as CO2 shipping.",34,BP Plc,['value chain'],FALSE,0
Decent work We are progressing our efforts to improve working conditions at our sites and in our supply chains.,38,BP Plc,['supply chain'],FALSE,0
"This approach helps us identify whether or not potential suppliers will be able to meet our LRMS expectations, if additional controls are needed, and how to introduce them if this is the case.",38,BP Plc,['supplier'],FALSE,0
"Greater equity Our aim 14 is greater diversity, equity and inclusion for our workforce and customers, and to increase supplier diversity spend to $1 billion.",40,BP Plc,['supplier'],FALSE,0
"Our progress in 2021 We have set three objectives for this aim: Diverse workforce, inclusive workplace culture and employee experience Inclusive customer experience Multiply diversity, equity and inclusion (DE&I) impact through ecosystem partners and suppliers Read more: Aims and objectives summary Throughout 2021, we made progress towards meeting these objectives, establishing governance and measurement processes to enable ongoing performance improvements.",40,BP Plc,['supplier'],FALSE,0
"Well aim to do this by improving workforce diversity and workplace inclusion, making customer experiences more inclusive and increasing our annual expenditure with diverse suppliers, including female, and underrepresented or minority groups (supplier diversity) to $1 billion by 2025.",40,BP Plc,['supplier'],FALSE,0
"Expanding supplier diversity worldwide In 2021, we grew our preferred diverse suppliers from around 280 to around 370, and our Supplier Diversity Advocacy Council promotes relevant initiatives, including the use of supplier diversity metrics in operating plans.",41,BP Plc,['supplier'],FALSE,0
"Following engagement with the Billion Dollar Roundtable, which promotes best practice in this field, we are developing supplier diversity strategies for the UK, Canada, China, Brazil, South Africa and Australia.",41,BP Plc,['supplier'],FALSE,0
"Multiplying DE&I impact with partners and suppliers Our UK, US and global DE&I frameworks for action reinforce our commitment to supplier diversity and to establishing inclusive supply chain objectives in our procurement processes.",41,BP Plc,"['supplier', 'supply chain']",FALSE,0
Our US supplier diversity programme Our target is to double our spend with certified diverse suppliers in the US by 2023 and to reach $1 billion annual spend by 2025.,41,BP Plc,['supplier'],FALSE,0
Our diverse supplier registration platform has been refreshed and is integrated with our procurement systems.,41,BP Plc,['supplier'],FALSE,0
We also introduced a global definition of supplier diversity and set out plans for regional leaders to become supplier diversity advocates.,41,BP Plc,['supplier'],FALSE,0
"We are assessing diverse spend outside the US and in 2021, we contacted suppliers to promote certification and request their current status.",41,BP Plc,['supplier'],FALSE,0
"What we mean by a diverse supplier In the US we define a diverse supplier as a forprofit business that is at least 51% owned, operated, managed and controlled by people with one of the following designations: women business enterprise, minority business enterprise, LGBT+, veteranowned business, disabled or service disabled.",41,BP Plc,['supplier'],FALSE,0
