sentence,page,keyword(s),Company,Label
"To strengthen our innovation environment, we expanded our ideation program called +DISa, counting on the participation and effective contribution of employees in the process of evaluating, selecting and implementing ideas.",7,['program'],copel,FALSE
"Main strategic objectives Copel DIS 2022-2026 Maximize company value through corporate sustainability; Be a reference in customer satisfaction; Invest in technology and assets; Ensure rigor in the planning and execution of projects; Promote a leap in the quality of supply in rural areas; Seek excellence in operational projects; Promote people-focused management; Sediment the culture of safety, health and quality of life; Foster innovation and prepare the workforce for the sectors modernization; Ensure adherence to ESG best practices; Develop solutions to take advantage of the expansion of DG and Smart Grid; Consolidate the leading role; Identify business opportunities.",16,['project'],copel,FALSE
"Its main activities are to provide public electricity distribution services and related services; study, plan, design, implement, operate and maintain electrical energy distribution systems, providing solutions for sustainable development; and provide administrative, communication and information technology services, leasing of associated equipment, for companies with a common controller.",17,['system'],copel,FALSE
"The category takes into account criteria such as the systemic thinking, sustainable development and process orientation.",18,['system'],copel,FALSE
"The Cier Innovation Award was created to foster the recognition of innovation projects developed by employees of companies in the electricity sector, both in the corporate and academic spheres.",19,['project'],copel,FALSE
"In 2021, the institution awarded the most innovative projects in four categories: digitization, decentralization, decarbonization and innovation platform.",19,['project'],copel,FALSE
"The Company competed with the Aneel R&D project Decentralized Marketplace to market electricity based on Blockchain, carried out in partnership with CPQD (Center for Research and Development in Telecommunications).",19,['project'],copel,FALSE
The award is an initiative of LIDE Paran to recognize companies and entrepreneurs that project the state with pioneering and innovative actions.,20,['project'],copel,FALSE
"Total Reliability The Total Reliability program contemplates the construction of substations and switch stations in municipalities that are not served by these solutions, automation of equipment in the electric energy distribution system that serves urban and rural areas in dozens of municipalities, in addition to the deployment of automatic power grid reconfiguration systems, minimizing electrical power interruption times.",21,"['program', 'system']",copel,FALSE
"In the works, a new technology of cables with a protective cover is used, avoiding problems in the supply when hit by tree branches or other objects.",21,['tree'],copel,FALSE
"The program also removes the old poles from the middle of the plantations and places new poles on the side of the roads, facilitating access for technicians and speeding up service.",21,['program'],copel,FALSE
"Paran Trifsico is an evolution of Clic Rural, an initiative that brought energy to more than 120,000 rural properties in the 1980s and became the main rural electrification program at the time.",21,['program'],copel,FALSE
