,corpus,have_transition_plan
0,selected datahas independently assured 2007 (see earlier reports).,True
1,certain key data independently assured (see below).,True
2,we engaged dnv perform independent limited assurance selection material 2022 data.,True
3,"overview independent limited assurance report board directors the british land company plc the british land company plc (british land) commissioned dnv business assurance services uk limited (dnv, we) conduct limited assurance engagement selected information presented sustainability accounts 2022 (the report) reporting year ended 31 march 2022.",True
4,"this conclusion relates selected information, read context independent limited assurance report, particular inherent limitations explained overleaf.",True
5,dnv expressly disclaims liability co-responsibility decision person entity based independent limited assurance report.,True
6,"our responsibility plan perform work obtain limited assurance selected information prepared accordance criteria report british land form independent limited assurance conclusion, based work performed evidence obtained.",True
7,"our esg journey our 2030 commitments performance overview (kpis) net zero carbon place based approach responsible business performance data 2022 epra index sasb index reporting criteria assurance reports 2 3 4 5 9 17 24 27 61 64 66 85 read tcfd disclosures 2022 annual report against challenging backdrop, teams fantastic job year, working customers partners support local communities.",False
8,"as new year, new uncertainties horizon, dedication vital ever.",False
9,"introduction this year celebrate 20 years sustainability reporting, environmental social focus integral way business.",False
10,the climate emergency high everyones agenda; face cost living crisis impact covid 19 continues reverberate communities.,False
11,this means progressing pathway net zero making positive impact places important ever.,False
12,we continued deliver strong progress year.,False
13,"at 1 triton square, completed second net zero carbon development site canada water, piloting innovative building materials technologies deliver market leading, highly sustainable buildings.",False
14,"our approach right terms environment, reflects customers increasingly expect.",False
15,"the strong business case sustainable buildings underlined year leasing success 1 broadgate, sustainable buildings london fully let (or option) years ahead completion.",False
16,"on standing portfolio, completed net zero audits working customers invest energy efficient interventions programme identified.",False
17,one outcome raise epc ratings portfolio a b 2030 line expected mees legislation.,False
18,"we delighted efforts recognised gresb, global real estate sustainability benchmark achieved 5* rating developments standing investments.",False
19,"on social side, place based approach strong local relationships allow adapt emerging needs opportunities place biggest impact.",False
20,"this year community activities benefitted nearly 24,000 people.",False
21,"our lasting collaboration capital city partnership fort kinnaird, help people face barriers employment, powerful example (see p23).",False
22,this year marked years partnership national literacy trust.,False
23,"against challenging backdrop, teams fantastic job, working customers partners support local communities.",False
24,i like thank hard work huge contribution making places vibrant successful.,False
25,"as new year, new uncertainties, dedication vital ever.",False
26,"overview overview broadgate places people prefer our purpose create manage outstanding places deliver positive outcomes stakeholders long term, sustainable basis.",False
27,we understanding evolving needs ofthe people organisations use places communities live them.,False
28,"the deep connections created customers, communities, partners people important emerge pandemic.",False
29,second net zero carbon development completed embodied carbon 1 triton square 2030 target 436 co2e sqm offset certified schemes including teak afforestation project mexico community reforestation project ghana.,False
30,"net zero asset audits completed working party experts, completed 29 audits portfolio identifying opportunities improve energy efficiency standing portfolio.",False
31,"awarded bre4 innovation credits for heat exchange system, recycling waste heat offices residential canada water introducing materials passport, facilitating materials re-use 1 broadgate.",False
32,"offices development pipeline, including completed developments 2.",False
33,whole building operational energy intensity improvement vs 2019 baseline offices 3.,False
34,impacted covid-19 restrictions requiring assets close operate lower capacity 4.,False
35,"building research establishment, parent organisation breeam certification framework launched ndt broadgate together new diorama theatre launched ndt broadgate support recovery arts post-pandemic.",False
36,one londons biggest rehearsal artist development complexes.,False
37,this year celebrate 20 years sustainability reporting environmental social focus integral business.,False
38,launched sustainability brief developments.,False
39,founding member uk green building council.,False
40,launched community investment fund.,False
41,signatory un global compact.,False
42,delivered breeam excellent projects.,False
43,introduced smart energy management system.,False
44,completed life carbon assessments.,False
45,our sustainability brief established social environmental requirements developments.,False
46,the ukgbc works promote sustainability built environment.,False
47,"supported 56,000 children read partnership national literacy trust began.",False
48,"launched community charter, laying foundation todays local charter.",False
49,started young readers programme partnership.,False
50,"queens award lasting economic, social environmental achievements launched regents place customer community fund industry first.",False
51,"launched bright lights, skills employment programme.",False
