words,GT,category
"With the aim of achieving carbon neutrality, by the early 2030s, every all-new Nissan vehicle offering in Japan and all key markets will be electrified.",0,auto
These targets are termed science-based targets (SBTs).,0,auto
"Some goals are universal for all suppliers, such as year-over-year carbon reduction targets.",0,auto
"Thats why we have targets not only to reduce emissions from the operation of our facilities, but also for the materials that are used in our vehicles.",0,auto
"BEST PRACTICES LONG-TERM MINDSET MAKE DECISIONS THAT FOSTER SUSTAINABLE RELATIONSHIPS Our suppliers include both direct material suppliers that produce the parts and components that make up our vehicles, as well as indirect suppliers, who provide the goods and services needed to run our operations.",0,auto
"Introduction Strategy and Governance Economic and Innovation Environment Social Stakeholder Review of Our Report Dialogue with our stakeholders fosters trust, helps us identify new trends and emerging issues, and consolidates the partnerships we have established to help us achieve our sustainability aspirations.",1,auto
"This task force included Tier-1, as well as targeted sub-tier, suppliers.",0,auto
"The frst phase of the process involved researching external sustainability trends, as well as risks, events and stakeholder expectations that may shape business activities over the coming decade.",0,auto
"However, to cope with changes in the social environment and in relationships with our stakeholders, we established the Subaru Global Sustainability Policy in April 2020 as a guideline to be shared by all Group employees on a global basis.",1,auto
"The Subaru Group conducts CSR activities by leveraging its strengths to find solutions to social problems, aiming to make the creation of a sustainable society and the continuous growth of the Subaru Group compatible.",0,auto
Our commitment to sustainable mobility addresses concerns over climate change and supports the sustainable growth of the company.,0,auto
"As a result, a further consensus on the continuing cooperation has been established in order to ensure long-term sustainable development for both sides.",0,auto
"Widespread use of zero-emission vehicles, which produce no CO2 emissions during operation, is an effective way of moving toward a sustainable society.",0,auto
We will improve our information disclosure using GRI Standards with a view to completing this in time for our 2020 Sustainability Report (to be published in June 2020).,0,auto
"In 2021, BMW Brilliance initiated a cooperative intention with State Grid and Northeastern Uni-versity on the development of a Carbon Footprint Management Platform.",0,auto
"Sided with stakeholders, in 2021, we worked on the most critical sustainability issues while maintaining our Quality-First mindset to guide our quality management.",0,auto
"UGL gives children the opportunity to think and learn about environmentally friendly, sustainable lifestyles, connecting these with their own experiences.",0,auto
"Moving into 2022 and beyond, with the integration of EcoVadis in 2021, GM is setting expectations to drive rapid supplier sustainability improvement to meet our ambitious supply chain sustainability goals.",0,auto
COMPETITIVE BENEFITS Employee well-being is the cornerstone of BMW Brilliances long-term sustainable development.,0,auto
"Here, we contribute our experiences with various aspects of sustainability and the procurement of raw material as well as due diligence in supplier networks.",0,auto
"Analyzing issues We analyzed documented materials and quantified the results of analysis for each category, in order to determine the priority of the issues in the major sustainability management issue pool.",0,auto
"As we move forward, sustainability will become a new norm, as all the new Spare Parts Distribution Centres shall receive the LEED certification.",0,auto
"The policy establishes a globally consistent standard intended to protect human health and the environment by incorporating sustainability practices into our design, engineering, manufacturing and logistics that support compliance while minimizing negative environmental impacts.",0,auto
"Developing Talented People Fostering Diversity, Equity & Inclusion Sustaining Communities 91 100 110 126 143 165 176 Appendix 177 Awards & Recognitions 178 Disclaimers 179 Global Reporting Initiative Index Sustainability Accounting Standards Board Response 193 Task Force on Climate-related Financial Disclosure Response United Nations Sustainable Development Goals United Nations Global Compact ESG Data Center Assurance Statements Forward-Looking Statements 195 205 208 210 223 230 Note: some images in this report were taken before the COVID-19 pandemic began.",0,auto
"GRI102-11 GRI102-26 GRI102-27 GRI102-28 GRI102-31 GRI102-32 GRI103-2 GRI103-3 INTERNAL EFFORTS TO PROMOTE SUSTAINABILITY Company-wide management of specific activities under Nissans sustainability strategy, from setting goals to monitoring progress, is the responsibility of the Global Sustainability Steering Committee chaired by the companys Chief Sustainability Officer (CSO).",0,auto
Educational Resources Learning and education are key contributors to sustainability.,0,auto
"The policy establishes a globally consistent standard intended to maintain compliance and protect human health and the environment by incorporating sustainability practices into our design, engineering, manufacturing and distribution practices that support compliance while minimizing negative environmental impacts.",0,auto
Honda believes that identifying risks and opportunities in respective scenarios will enable more sustainable corporate management.,0,auto
It is important to note that carbon neutrality can be achieved using emission reductions and carbon offsets.,0,auto
