words,GT,category
"Here, we contribute our experiences with various aspects of sustainability and the procurement of raw material as well as due diligence in supplier networks.",0,auto
"We periodically monitor the impact of these scenarios to secure future profitability and sustainable growth, as well as updating our future lineup plan periodically based on the results.",0,auto
These programs focused on quality education and creating sustainable cities and communities.,0,auto
"Drive Sustainability, a Stellantis partner, launched a project to identify human rights risks in the supply chains of 10 raw materials, including aluminum.",0,auto
"The guide outlines GMs approach to sustainability and includes increasing levels of engagement from our suppliers with four distinct levels: compliance, commitment, growth and leadership.",1,auto
Reach 150 Landfill-Free Sites 112 66 131 142 137 94 85 2010 BASELINE 2015 2016 2017 2018 2019 2020 PROGRESS Original goal and stretched targets were achieved ahead of time in 2016.,0,auto
"This assists the company in practicing sustainable management and enhancing the transparency of its internal transactions, promoting ethical and ESG management practices, and protecting shareholders rights.",0,auto
"By implementing all of our best-in-class green practices in our new production plants, we have led the entire automo-tive industry in sustainable production.",0,auto
"We encourage the adoption and sharing of sustainable practices among our business partners, suppliers and dealers.",0,auto
"Corporate Governance The Companys governance supported how we did business on a daily basis, enabling us to pursue sustainable growth and to create value while respecting the legitimate interests of stakeholders.",0,auto
"As a result of these efforts to run our business in an economically, socially, and environmentally responsible way, Hyundai made the coveted Dow Jones Sustainability Index (DJSI) Korea list in 2019.",0,auto
It is a sustainable means to achieve our Quality Ambition.,0,auto
It does this by outlining the pivotal role that can be played by hydrogen energy in ensuring that the world will have a truly sustainable future.,0,auto
"Cor-rectivemeasurestoremedythesustainabilitydeficitswere definedfor1,317 of those cases.",0,auto
The Group has made significant progress to understand how suppliers are focusing on sustainability topics.,0,auto
Our management team has developed targeted programmes for on-site inspection.,0,auto
Our Sustainability Office uses a team of teams approach to help ensure that functional areas across the enterprise have accountability for their respective functions role in accelerating the companys vision.,0,auto
Linking total compensation to the achievement of these individual measures increases focus on efficiency and performance across the business for our sustainability initiatives.,1,auto
Our vision is a future with zero emissions to help create a more sustainable planet.,0,auto
"Executive commitment to ESG To further integrate sustainability into our strategy and operations, the Global Sustainability Steering Committee, which I chair, conducts regular reviews of progress and priorities of our NS2022 considering the evolving ESG trends that are affecting the world and us.",0,auto
"By bringing together our online financial and sustainability annual reports, we are creating a more complete picture of our progress and the value we generate for investors and shareholders, avoiding the duplication of information across multiple reports and increasing the efficiency of our reporting process.",0,auto
