words,category
The BMW Group Sustainable Value Report (SVR) has been published to provide stakeholders with comprehensive information about the companys sustainability strategy and the progress made in integrating sustainability into its corporate processes.,auto
The Sustainable Value Report is published at the same time as the Annual Report on the date of the Annual Accounts Press Conference.,auto
"This will be published jointly as an integrated, separate non-financial report (hereinafterreferredtoasseparatenon-financialreport) within this Sustainable Value Report for BMW AG and BMW Group.",auto
Current examples on measures that support implementing our sustainability targets can be found on our website.,auto
The same applies to the topic of sustainability.,auto
"Bold visions and distant targets are fineandgood, , whatreallymattersisthatwemakeaneffectivecontribu-tion to environmental and climate protection here and now.",auto
Sustainability is not just a trend for us.,auto
This can be seen in our Sustainable Value Report targets that we set in 2012 for 2020orareinthefinalstretch towards achieving them.,auto
Our road to sustainable mobility: we plan to meet Europes CO2 requirements for 2020 and 2021.,auto
A major focus of our sustainability strategy is lowering CO2 emissions.,auto
Our understanding of sustainability is not limited to on the entire value chain.,auto
This shows our full commitment to sustainability across the company.,auto
"The fully-electric BMW i3, with its 360-degree approach, has been a pioneer in sustainable mobility since 2013.",auto
"Now, we are going even further: we have set ourselves ambitious targets to successfully tackle a variety of new challenges.",auto
"For this very reason, we have decided to fully incorporate our sustainability strategy into the BMW cor-porate strategy.",auto
This will fully ensure that the companys thinking and actions are aligned in a sustainable manner.,auto
"System integration is a strength of the BMW Group, giving the company a competitive edge in particular in the context of the tran-sition towards sustainable mobility.",auto
"Andofferingacomplete,sustainableandsafe finishedoverallproductinspiteofitscomplexity To this end, developers, suppliers and our production sites collaboratecloselyinanefficientglobalnetwork.",auto
Sustainability is part and parcel of the BMW Groups busi-ness model.,auto
"We have set clear goals for sustainable individ-ual mobility, resource-efficient value creation, our employees development and our engagement in society.",auto
Sustainability is an integral part of our corporate Strategy NUMBER ONE > NEXT.,auto
This covers everything from the sustainability requirements for the procurement process and the design of our products through to the development of new lines of business.,auto
"Sustainable, resource-efficient supply chain By 2020, the BMW Group will have significantly increased supply chain transparency and resource efficiency.",auto
"In terms of transparency, we consider the target achieved, especially when it comes to critical raw materials (such as cobalt).",auto
"For detailed information about the materiality process, please see last years Sustainable Value Report 2018 (pages 1314).",auto
"In addition, we are already hard at work incorporating new sustainability goals into our business strategy.",auto
"Working towards the UN Sustainable Development Goals In autumn 2015, the General Assembly of the United Nations announced the Sustainable Development Goals (SDGs).",auto
